MAK,VehicleKnownOwnedNumber,NetWorth,Marital_S,Marital_M,Gardening,HomeImprovement,OutdoorsGrouping,NumberOfChildren,OwnerRenter,SingleParent,HomeImprovementDIY
9005082639,0.0,9.0,False,True,1,1,1,1.0,1,0,1
5389949962,1.0,6.0,True,False,1,1,1,0.0,0,0,0
6768710419,2.0,9.0,False,True,1,1,1,3.0,1,0,0
2234668744,3.0,9.0,False,True,1,1,1,0.0,1,0,1
5631554032,0.0,9.0,False,False,0,0,0,0.0,0,0,0
8036821062,0.0,9.0,False,True,1,0,1,0.0,1,0,0
8825631379,0.0,6.0,False,True,0,0,0,0.0,0,0,0
4375294366,2.0,9.0,False,True,1,1,1,4.0,1,0,1
4292393366,2.0,9.0,True,False,1,0,1,0.0,1,0,0
5197516324,0.0,8.0,True,False,1,1,1,1.0,1,1,0
9395007918,0.0,9.0,False,True,1,1,1,0.0,1,0,0
5576212264,0.0,9.0,True,False,1,0,1,1.0,1,1,0
3850326469,2.0,9.0,False,True,1,0,1,0.0,1,0,0
9260028350,0.0,9.0,False,True,1,1,1,0.0,1,0,0
2354535879,0.0,9.0,False,False,0,0,0,0.0,0,0,0
1538852900,1.0,9.0,True,False,1,0,1,2.0,1,1,0
9500937063,0.0,9.0,False,False,0,0,0,0.0,1,0,0
9644497171,1.0,9.0,False,True,1,1,1,4.0,1,0,1
5552589931,1.0,9.0,False,True,1,1,1,4.0,1,0,0
5223322763,1.0,6.0,False,True,1,1,1,0.0,0,0,0
8727007960,0.0,9.0,False,True,1,0,1,0.0,0,0,0
4191249439,1.0,9.0,False,True,1,1,1,1.0,1,0,0
7507490386,1.0,6.0,True,False,1,1,1,0.0,1,0,0
2941732263,2.0,4.0,True,False,0,0,0,0.0,0,0,0
6845015277,0.0,9.0,False,True,1,1,1,0.0,1,0,0
5533800421,0.0,9.0,True,False,0,0,0,0.0,0,0,0
3967396651,0.0,9.0,True,False,0,1,0,0.0,1,0,0
1292990941,0.0,9.0,False,True,1,1,1,0.0,0,0,1
5332452502,1.0,9.0,False,True,1,1,1,1.0,1,0,0
4152916012,0.0,9.0,True,False,1,0,1,0.0,0,0,0
4278235156,0.0,9.0,True,False,1,1,0,0.0,1,0,0
5327553055,0.0,9.0,True,False,1,1,1,0.0,1,0,0
5911193518,0.0,9.0,False,True,0,0,0,0.0,0,0,0
1937927176,0.0,9.0,True,False,1,1,1,0.0,1,0,0
6093846179,1.0,9.0,True,False,1,1,1,0.0,1,0,0
7484896229,1.0,9.0,False,True,1,1,1,1.0,1,0,0
8035920342,1.0,9.0,True,False,1,1,1,0.0,1,0,1
8489165336,0.0,9.0,False,True,1,0,1,0.0,1,0,0
3060382441,1.0,9.0,False,True,1,1,0,1.0,1,0,0
5461070727,0.0,9.0,False,True,0,0,1,2.0,1,0,0
2673401513,2.0,9.0,False,True,1,1,1,0.0,1,0,1
3683465849,3.0,9.0,False,True,1,1,1,0.0,1,0,0
8673195666,2.0,9.0,False,True,1,1,1,0.0,1,0,0
8351171216,0.0,6.0,False,False,1,1,1,0.0,0,0,1
3249652995,0.0,7.0,True,False,1,1,1,0.0,0,0,0
9706040780,1.0,9.0,True,False,1,0,1,0.0,1,0,0
4304988404,3.0,9.0,False,True,1,0,1,3.0,0,0,1
4824944488,1.0,9.0,True,False,1,1,1,1.0,0,1,1
3233726890,0.0,9.0,True,False,0,0,1,0.0,1,0,0
4278165690,0.0,3.0,True,False,1,0,1,0.0,0,0,0
2109821364,0.0,9.0,False,False,0,0,0,0.0,0,0,0
5363735025,0.0,9.0,False,True,0,0,0,0.0,0,0,0
1122195217,0.0,9.0,False,True,1,0,0,0.0,1,0,0
3965662081,0.0,9.0,False,True,1,1,1,0.0,1,0,1
9539316907,1.0,9.0,False,True,1,1,1,1.0,1,0,1
5807718809,0.0,7.0,False,False,0,0,0,0.0,0,0,0
9685551476,0.0,8.0,False,True,0,0,0,2.0,1,0,0
5664503228,0.0,9.0,False,True,1,1,1,3.0,1,0,1
8763300661,0.0,9.0,False,True,1,1,1,2.0,1,0,1
5781814883,0.0,9.0,False,True,1,1,1,2.0,1,0,0
2093599770,1.0,9.0,False,True,1,1,1,3.0,1,0,0
9393886170,1.0,9.0,True,False,1,1,1,3.0,1,1,0
1439259341,0.0,9.0,False,True,1,1,1,0.0,0,0,1
8670584444,0.0,9.0,False,True,1,1,1,1.0,1,0,1
8662712043,0.0,9.0,False,True,0,0,0,1.0,1,0,0
1122850534,0.0,9.0,False,True,1,1,1,1.0,1,0,1
9066236034,3.0,9.0,False,True,1,1,1,0.0,1,0,0
4570676008,0.0,9.0,False,False,0,0,0,0.0,1,0,0
6110392632,3.0,9.0,False,True,1,0,1,2.0,1,0,0
6998529475,0.0,4.0,False,True,1,1,1,0.0,1,0,1
2187096245,0.0,9.0,True,False,1,0,0,0.0,1,0,1
3513796547,0.0,9.0,False,True,1,1,1,1.0,1,0,1
6717157590,0.0,3.0,False,False,0,0,0,0.0,0,0,0
7488048949,0.0,8.0,False,True,0,0,1,0.0,0,0,1
3704447164,0.0,9.0,False,True,1,1,0,0.0,1,0,1
8586634200,0.0,1.0,False,False,0,0,0,0.0,1,0,0
8785623885,0.0,5.0,False,True,1,1,1,0.0,1,0,0
5832434879,0.0,4.0,True,False,0,0,1,0.0,0,0,0
3801891266,0.0,9.0,True,False,0,0,0,0.0,1,0,0
1522780958,3.0,9.0,False,True,1,1,1,3.0,1,0,0
9989915661,0.0,9.0,False,False,1,1,1,3.0,1,0,0
6651059273,0.0,1.0,False,False,0,0,0,0.0,0,0,0
2011043423,0.0,9.0,True,False,1,1,1,0.0,1,0,1
3169140941,3.0,9.0,False,True,1,1,1,1.0,1,0,0
2854310501,1.0,9.0,True,False,1,1,1,2.0,1,1,1
